symbol,price,marketCap,beta,lastDividend,range,change,changePercentage,volume,averageVolume,companyName,currency,cik,isin,cusip,exchangeFullName,exchange,industry,website,description,ceo,sector,country,fullTimeEmployees,phone,address,city,state,zip,image,ipoDate,defaultImage,isEtf,isActivelyTrading,isAdr,isFund
MMM,183.185,94472610958,1.08,3.02,139.34-184.9,2.245,1.24074,534011.0,3750711,3M Company,USD,0000066740,US88579Y1010,88579Y101,New York Stock Exchange,NYSE,Conglomerates,https://www.3m.com,"3M Company operates as a global technology conglomerate with diverse interests. Its extensive operations are strategically divided into four primary business segments: Safety and Industrial, Transportation and Electronics, Health Care, and Consumer. The Safety and Industrial division supplies a broad array of products, including specialized abrasives and finishing tools for metalworking, automotive body repair kits, fastening systems for personal hygiene items, various masking and packaging materials, electrical components for construction, maintenance, and power distribution, strong structural adhesives and tapes, comprehensive personal protective equipment for respiratory, auditory, visual, and fall protection, and mineral granules for roofing shingles. Within the Transportation and Electronics sector, offerings encompass advanced ceramic solutions, specialized attachment tapes and films, sophisticated sound and temperature management systems for vehicles, high-quality large-format graphic films for advertising and fleet branding, optical films, electronic assembly solutions, robust packaging and interconnection technologies, and reflective materials crucial for highway and vehicle safety. The Health Care segment provides essential solutions such as food safety indicators, software for medical procedure coding and reimbursement, a wide range of products for skin and wound care, infection prevention, dental and orthodontic supplies, and advanced filtration and purification systems. Finally, the Consumer unit delivers an assortment of household and personal products, including bandages, braces, support devices, and personal respirators; various home cleaning supplies; retail-grade abrasives, paint accessories, DIY car care products, picture hanging solutions, and consumer-focused air quality improvements; along with a selection of stationery items. The company distributes its extensive product portfolio through both online platforms and a comprehensive traditional network, leveraging wholesalers, retailers, jobbers, distributors, and authorized dealers. This enterprise was founded in 1902 and maintains its corporate headquarters in St. Paul, Minnesota.",William Brown,Industrials,US,60500,651 733 1110,3M Center,Saint Paul,MN,55144-1000,https://images.financialmodelingprep.com/symbol/MMM.png,1946-01-14,False,False,True,False,False
AOS,63.425,8789866479,1.157,1.44,54.16-81.87,2.565,4.21459,380208.0,1732814,A. O. Smith Corporation,USD,0000091142,US8318652091,831865209,New York Stock Exchange,NYSE,Industrial - Machinery,https://www.aosmith.com,"A. O. Smith Corporation (AOS) is a global manufacturer and marketer specializing in a comprehensive array of water heating and treatment solutions. Its operations span North America, China, Europe, and India, organized into two primary geographic segments: North America and Rest of World. The company's product portfolio is extensive, featuring residential and commercial water heaters (gas, heat pump, and electric models), boilers, storage tanks, and various water treatment systems. These products cater to a wide range of applications, including homes, apartments, and condominiums, as well as commercial entities such as restaurants, hotels, office buildings, laundries, car washes, small businesses, hospitals, and schools. Specific offerings include diverse water treatment products like point-of-entry water softeners, well water purification systems, whole-home filtration units, portable filtration bottles, point-of-use carbon filters, and reverse osmosis systems, designed for residential, restaurant, hotel, and office use. A. O. Smith also supplies food and beverage filtration products, expansion tanks, commercial solar water heating installations, and heaters for swimming pools and spas, along with associated components. Advanced heating solutions further encompass heat pumps, electric wall-hung units, gas tankless heaters, combi-boilers, and integrated heat pump and solar water heaters. Products are primarily sold under established brands such as A. O. Smith, State, and Lochinvar, in addition to specialized water softener brands. The company leverages various distribution channels, including independent wholesale plumbing distributors, retail outlets like hardware and home center chains, and manufacturer representative firms. Its Aquasana-branded products are sold directly to consumers through e-commerce platforms and other online retailers. Founded in 1874, A. O. Smith Corporation maintains its corporate headquarters in Milwaukee, Wisconsin.",Stephen Shafer,Industrials,US,11500,414 359 4000,11270 West Park Place,Milwaukee,WI,53224,https://images.financialmodelingprep.com/symbol/AOS.png,1983-09-30,False,False,True,False,False
ABT,115.02,199028689639,0.581,2.48,81.97-137.49,2.34,2.07667,1561004.0,12578332,Abbott Laboratories,USD,0000001800,US0028241000,002824100,New York Stock Exchange,NYSE,Medical - Devices,https://www.abbott.com,"Abbott Laboratories, along with its affiliated entities, is a global healthcare enterprise dedicated to the research, development, manufacturing, and worldwide distribution of a diverse portfolio of health solutions. The company operates through four primary divisions: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices. In the Established Pharmaceutical Products segment, Abbott provides generic medications designed to treat a wide array of conditions, including pancreatic exocrine insufficiency, irritable bowel syndrome or biliary spasm, intrahepatic cholestasis or depressive symptoms, gynecological disorders, hormone replacement therapy, dyslipidemia, hypertension, hypothyroidism, Ménière's disease and vestibular vertigo, pain, fever, inflammation, and migraine. This segment also supplies the anti-infective clarithromycin, influenza vaccines, and products aimed at regulating colon physiology. The Diagnostic Products division offers a comprehensive suite of diagnostic tools. These include laboratory systems for immunoassay, clinical chemistry, hematology, and transfusion; molecular diagnostics systems that automate the extraction, purification, and preparation of DNA and RNA from patient samples, as well as detect and quantify infectious agents. Additionally, this segment provides point-of-care systems, blood testing cartridges, rapid lateral flow testing products, and specialized molecular point-of-care tests for pathogens such as HIV, SARS-CoV-2, influenza A and B, RSV, and strep A. Its offerings also extend to cardiometabolic test systems, drug and alcohol screening solutions, remote patient monitoring, consumer self-test systems, and sophisticated informatics and automation solutions for laboratory use. The Nutritional Products segment is responsible for delivering nutritional formulations tailored for both pediatric and adult populations. Finally, the Medical Devices segment develops and commercializes rhythm management, electrophysiology, heart failure, vascular, and structural heart devices for the treatment of cardiovascular ailments. It also supplies diabetes care products and neuromodulation devices designed for the management of chronic pain and movement disorders. Founded in 1888, Abbott Laboratories maintains its corporate headquarters in North Chicago, Illinois.",Robert Ford,Healthcare,US,115000,224 667 6100,100 Abbott Park Road,Abbott Park,IL,60064-6400,https://images.financialmodelingprep.com/symbol/ABT.png,1980-03-17,False,False,True,False,False
ABBV,263.63,465779600027,0.28,6.83,190.75-267.47,4.71,1.8191,1172393.0,6632958,AbbVie Inc.,USD,0001551152,US00287Y1091,00287Y109,New York Stock Exchange,NYSE,Drug Manufacturers - General,https://www.abbvie.com,"AbbVie Inc. is a global biopharmaceutical company dedicated to the discovery, development, manufacturing, and commercialization of advanced medicines. Its extensive therapeutic portfolio encompasses several key areas: Immunology and Inflammation: Leading products include HUMIRA, an injectable therapy for autoimmune and intestinal Behçet's diseases; SKYRIZI, which addresses moderate to severe plaque psoriasis in adults; and RINVOQ, a JAK inhibitor for moderate to severe active rheumatoid arthritis in adult patients. Oncology and Hematology: For blood cancers, AbbVie provides IMBRUVICA and VENCLEXTA (a BCL-2 inhibitor), both indicated for adult patients with chronic lymphocytic leukemia (CLL) and small lymphocytic lymphoma (SLL). Virology: MAVYRET offers a treatment option for individuals with chronic HCV genotype 1-6 infection. Gastroenterology and Endocrinology: The company supplies CREON, an enzyme replacement therapy for exocrine pancreatic insufficiency, and Synthroid, used to manage hypothyroidism. Linzess/Constella helps treat irritable bowel syndrome with constipation (IBS-C) and chronic idiopathic constipation. Women's Health and Urology: Lupron serves as a palliative treatment for conditions like advanced prostate cancer, endometriosis, central precocious puberty, and anemia caused by uterine fibroids. ORILISSA, a nonpeptide small molecule GnRH antagonist, is designed for women experiencing moderate to severe endometriosis pain. Neurology: AbbVie offers Duopa and Duodopa, a levodopa-carbidopa intestinal gel for Parkinson's disease, and Ubrelvy to treat migraines (with or without aura) in adults. The therapeutic formulation of Botox is also part of its offerings. Ophthalmology: Its eye care segment features Lumigan/Ganfort (a bimatoprost ophthalmic solution) and Alphagan/Combigan (an alpha-adrenergic receptor agonist), both aimed at reducing elevated intraocular pressure (IOP) in patients with open-angle glaucoma (OAG) or ocular hypertension. Restasis, a calcineurin inhibitor immunosuppressant, is provided to enhance tear production, alongside other specialized eye care products. AbbVie Inc. also engages in research collaborations, including a partnership with Dragonfly Therapeutics, Inc. The company was founded in 2012 and operates from its headquarters in North Chicago, Illinois.",Robert A. Michael,Healthcare,US,57000,847 932 7900,1 North Waukegan Road,North Chicago,IL,60064-6400,https://images.financialmodelingprep.com/symbol/ABBV.png,2013-01-02,False,False,True,False,False
ACN,185.58,113564217709,1.082,6.52,118.15-291.09,12.65,7.3151,1717029.0,7646500,Accenture plc,USD,0001467373,IE00B4BNMY34,G1151C101,New York Stock Exchange,NYSE,Information Technology Services,https://www.accenture.com,"Accenture plc is a global professional services firm that delivers a wide array of strategy, consulting, interactive, technology, and operations services worldwide. Its comprehensive offerings include application services such as agile transformation, DevOps implementation, application modernization, enterprise architecture, software and quality engineering, and data management. It also specializes in intelligent automation, incorporating robotic process automation, natural language processing, and virtual agents, alongside liquid application management and various program, project, and service management solutions. The company provides strategic consulting, focusing on critical data elements, data governance, platform architecture, and enabling product-centric organizations to ensure business adoption and value realization. Accenture supports the digitization of engineering and research & development, designs and develops smart connected products, modernizes product platforms, and facilitates product-as-a-service models. It also offers solutions for production and operations, autonomous robotics systems, digital transformation of capital projects, and digital industrial workforce solutions. Further services encompass data-enabled operating models, technology consulting, and artificial intelligence expertise. Accenture assists with talent and organizational development (human potential), digital commerce, and robust infrastructure services covering hybrid cloud, networking, digital workplace and collaboration, service and experience management, infrastructure as code, and managed edge and IoT devices. Its cybersecurity portfolio includes cyber defense, applied and managed security, operational technology (OT) security, security strategy and risk management, and industry-specific security products. The company also drives technology innovation and intelligent automation initiatives. Additionally, Accenture provides cloud solutions, ecosystem development, marketing strategies, supply chain management, zero-based budgeting, customer experience enhancement, finance consulting, mergers and acquisitions support, and sustainability services. Established in 1951, Accenture plc is headquartered in Dublin, Ireland.",Julie T. Spellman Sweet,Technology,IE,799000,353 1 646 2000,1 Grand Canal Square,Dublin,DU,D02 P820,https://images.financialmodelingprep.com/symbol/ACN.png,2001-07-19,False,False,True,False,False
ADBE,275.2108,109396293000,1.404,0.026,190.12-370.86,12.0708,4.58722,1569620.39269,6041107,Adobe Inc.,USD,0000796343,US00724F1012,00724F101,NASDAQ Global Select,NASDAQ,Software - Application,https://www.adobe.com,"Adobe Inc. stands as a prominent global software provider, delivering a diverse range of solutions. Its operations are structured into three primary business divisions: Digital Media, Digital Experience, and Publishing and Advertising. The Digital Media segment empowers individuals, teams, and enterprises to generate, disseminate, and amplify various forms of content through its array of products and services, including the cloud-native Document Cloud platform. Central to this segment is Creative Cloud, its subscription-based flagship, granting access to a comprehensive suite of creative tools. This division caters to a diverse range of users, from professional content creators and marketers to educators, communicators, and general consumers. Adobe's Digital Experience division offers an integrated suite of applications and services designed to empower brands and businesses to craft, orchestrate, assess, and enhance customer journeys, from initial analytical insights to final commercial transactions. It serves a broad professional base including marketing teams, advertisers, agencies, data scientists, and senior executives. The Publishing and Advertising segment provides specialized offerings such as e-learning tools, technical documentation services, web conferencing solutions, advanced printing technologies, and its Advertising Cloud suite. Adobe engages directly with enterprise clients through its dedicated sales teams and regional offices. Individual end-users can access its offerings via app stores or its official website, adobe.com. Additionally, an extensive indirect channel supports distribution, encompassing partners such as distributors, value-added resellers, system integrators, software vendors, retailers, and original equipment manufacturers. Established in 1982, the company, initially named Adobe Systems Incorporated, rebranded as Adobe Inc. in October 2018. Its corporate headquarters are situated in San Jose, California.",Shantanu Narayen,Technology,US,31360,408 536 6000,345 Park Avenue,San Jose,CA,95110-2704,https://images.financialmodelingprep.com/symbol/ADBE.png,1986-08-13,False,False,True,False,False
AMD,463.88,756402728000,2.489,0.005,149.22-584.73,-20.51,-4.23419,8405205.0,33794378,"Advanced Micro Devices, Inc.",USD,0000002488,US0079031078,007903107,NASDAQ Global Select,NASDAQ,Semiconductors,https://www.amd.com,"Advanced Micro Devices, Inc. (AMD), established in 1969 and headquartered in Santa Clara, California, operates as a global leader in the semiconductor industry. The company organizes its extensive operations into two primary segments: Computing and Graphics, and Enterprise, Embedded and Semi-Custom. In its Computing and Graphics division, AMD develops a range of products including x86 microprocessors (often as accelerated processing units), chipsets, and various graphics processing units (GPUs), encompassing discrete, integrated, data center, and professional variants, alongside providing development services. The Enterprise, Embedded and Semi-Custom segment focuses on server and embedded processors, bespoke System-on-Chip (SoC) products, and foundational technology for popular game consoles, also offering associated development support. AMD's diverse product lineup features processors for desktop and notebook personal computers under well-known brands such as AMD Ryzen, Ryzen PRO, Ryzen Threadripper, Threadripper PRO, AMD Athlon, Athlon PRO, AMD FX, AMD A-Series, and PRO A-Series. Discrete GPUs for these PCs are offered through the AMD Radeon graphics and AMD Embedded Radeon graphics brands, while professional graphics solutions include AMD Radeon Pro and AMD FirePro. Furthermore, the company provides high-performance accelerators for servers, including Radeon Instinct, Radeon PRO V-series, and AMD Instinct, along with AMD EPYC microprocessors designed for server environments. Its embedded processor solutions span multiple brands, such as AMD Athlon, AMD Geode, AMD Ryzen, AMD EPYC, AMD R-Series, and G-Series. AMD also produces chipsets under its own trademark and crafts customer-specific solutions leveraging its CPU, GPU, and multimedia expertise, including specialized semi-custom SoC products. AMD reaches its wide array of clients, which comprise original equipment manufacturers (OEMs), public cloud service providers, original design manufacturers (ODMs), system integrators, independent distributors, online retailers, and add-in-board manufacturers. The company's sales and distribution network includes its direct sales force, independent distributors, and dedicated sales representatives.",Lisa T. Su,Technology,US,31000,408 749 4000,2485 Augustine Drive,Santa Clara,CA,95054,https://images.financialmodelingprep.com/symbol/AMD.png,1972-09-07,False,False,True,False,False
AES,14.735,10508383130,0.952,0.7038,12.33-17.65,-0.005,-0.0339213,1595538.00711,8943722,The AES Corporation,USD,0000874761,US00130H1059,00130H105,New York Stock Exchange,NYSE,Diversified Utilities,https://www.aes.com,"The AES Corporation operates as an international enterprise primarily focused on electricity generation and distribution. Its activities involve both the ownership and management of power plants, producing and supplying electricity to a diverse clientele that includes other utility companies, large industrial consumers, and various intermediate purchasers. Beyond generation, AES also functions as a utility provider, managing infrastructure to either produce or acquire, then transmit, distribute, and ultimately sell power directly to end-users across residential, commercial, industrial, and governmental sectors. The company is also an active participant in the wholesale electricity market. For power production, AES utilizes a broad spectrum of energy sources and advanced technologies. This includes conventional fuels like coal and natural gas, as well as a significant commitment to renewables such as hydroelectric, wind, solar, and biomass. Its renewable portfolio further incorporates energy storage solutions and landfill gas. With an operational generation capacity of approximately 31,459 megawatts, the company maintains a substantial global presence, conducting business in the United States, Puerto Rico, various nations across Central and South America (including El Salvador, Chile, Colombia, Argentina, Brazil, Mexico), the Caribbean, Europe, and Asia. Founded in 1981, the company was initially named Applied Energy Services, Inc., before officially rebranding to The AES Corporation in April 2000. Its corporate headquarters are located in Arlington, Virginia.",Andres Ricardo Gluski Weilert,Utilities,US,8336,703 522 1315,4300 Wilson Boulevard,Arlington,VA,22203,https://images.financialmodelingprep.com/symbol/AES.png,1991-06-26,False,False,True,False,False
AFL,118.72,60426699200,0.595,2.38,104.66-130.22,-3.01,-2.47269,617015.0,2325317,Aflac Incorporated,USD,0000004977,US0010551028,001055102,New York Stock Exchange,NYSE,Insurance - Life,https://www.aflac.com,"Aflac Incorporated, operating through its various subsidiary companies, focuses on delivering supplementary health and life insurance policies. The firm's business activities are structured into two primary divisions: Aflac Japan and Aflac U.S. In Japan, the company offers a diverse range of insurance products, including coverage for cancer, medical expenses, income support for nursing care, and the distinct GIFT plan. This segment also provides traditional whole and term life insurance, along with savings-oriented plans like WAYS and child endowment products. Meanwhile, the Aflac U.S. division caters to the American market, furnishing policies that address cancer, accidents, short-term disability, critical illness, and hospital stays. Additionally, it provides dental, vision, long-term care, disability, and both term and whole life insurance options. Aflac distributes its comprehensive suite of products through multiple channels, which include dedicated sales associates, independent brokers, various corporate and individual agencies, and affiliated agencies. Established in 1955, the company maintains its corporate headquarters in Columbus, Georgia.",Daniel Paul Amos,Financial Services,US,12716,706 323 3431,1932 Wynnton Road,Columbus,GA,31999-7251,https://images.financialmodelingprep.com/symbol/AFL.png,1980-03-17,False,False,True,False,False
A,153.925,43473346462,1.229,1.013,108.35-160.27,5.485,3.6951,587560.0,2201132,"Agilent Technologies, Inc.",USD,0001090872,US00846U1016,00846U101,New York Stock Exchange,NYSE,Medical - Diagnostics & Research,https://www.agilent.com,"Agilent Technologies, Inc. delivers specialized, application-focused technologies and services to the global life sciences, diagnostics, and applied chemistry industries. Its Life Sciences and Applied Markets segment provides a comprehensive portfolio of analytical instrumentation. This includes liquid chromatography (LC) and gas chromatography (GC) systems, often integrated with mass spectrometry (MS) for advanced analysis (LC-MS, GC-MS). They also offer inductively coupled plasma mass spectrometry (ICP-MS), atomic absorption (AA), microwave plasma-atomic emission spectrometry (MP-AES), and inductively coupled plasma optical emission spectrometry (ICP-OES) instruments, alongside Raman spectroscopy for material characterization. Beyond spectroscopy, the segment supplies cell analysis solutions such as plate-based assays, flow cytometers, real-time cell analyzers, imaging systems, and microplate readers. Complementing these are various laboratory software, information management platforms, data analytics tools, automated and robotic lab systems, dissolution testing equipment, vacuum technology, and general measurement solutions. The Diagnostics and Genomics division offers cutting-edge tools for genetic and diagnostic research. These encompass arrays designed for DNA mutation detection, genotyping, gene copy number determination, identification of gene rearrangements, DNA methylation profiling, and gene expression analysis. This segment also provides target enrichment solutions for next-generation sequencing, along with software for genetic data management and interpretation. Furthermore, it synthesizes custom oligonucleotides. Other significant offerings include immunohistochemistry (IHC), in situ hybridization (ISH), hematoxylin and eosin (H&E) staining, and specialized staining solutions. The division also supplies consumables and software essential for quality control analysis of nucleic acid samples, as well as reagents for turbidimetry and flow cytometry applications. A key area of development for this segment is liquid-based pharmacodiagnostics. Agilent CrossLab, the third segment, focuses on providing essential laboratory consumables and services. Its product range features GC and LC columns, products for sample preparation, custom chemical formulations, and various supplies for laboratory instruments. Complementary services include expert support for startup, ongoing operations, training, compliance, Software-as-a-Service (SaaS) offerings, asset management, and professional consultation. The company's products reach customers through a diverse sales network, including direct sales teams, distributors, resellers, manufacturer's representatives, and its e-commerce platforms. Agilent Technologies, Inc. was established in 1999 and maintains its corporate headquarters in Santa Clara, California.",Padraig McDonnell,Healthcare,US,18000,800 227 9770,5301 Stevens Creek Boulevard,Santa Clara,CA,95051,https://images.financialmodelingprep.com/symbol/A.png,1999-11-18,False,False,True,False,False
